first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,,Age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value
Chickie,Brister,Male,86,12-07-1957,1957,64,General Manager,Manufacturing,Mass Customer,N,Yes,14,45 Shopko Center,4500,QLD,Australia,6,1,1.71875
Morly,Genery,Male,69,12-07-1958,1958,63,Structural Engineer,Property,Mass Customer,N,No,16,14 Mccormick Park,2113,NSW,Australia,11,1,1.71875
Ardelis,Forrester,Female,10,12-07-1959,1959,62,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,10,5 Colorado Crossing,3505,VIC,Australia,5,1,1.71875
Lucine,Stutt,Female,64,12-07-1960,1960,61,Account Representative III,Manufacturing,Affluent Customer,N,Yes,5,207 Annamark Plaza,4814,QLD,Australia,1,4,1.703125
Melinda,Hadlee,Female,34,12-07-1961,1961,60,Financial Analyst,Financial Services,Affluent Customer,N,No,19,115 Montana Place,2093,NSW,Australia,9,4,1.703125
Druci,Brandli,Female,39,12-07-1962,1962,59,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,22,89105 Pearson Terrace,4075,QLD,Australia,7,6,1.671875
Rutledge,Hallt,Male,23,12-07-1963,1963,58,Compensation Analyst,Financial Services,Mass Customer,N,No,8,7 Nevada Crossing,2620,NSW,Australia,7,6,1.671875
Nancie,Vian,Female,74,12-07-1964,1964,57,Human Resources Assistant II,Retail,Mass Customer,N,Yes,10,85 Carioca Point,4814,QLD,Australia,5,8,1.65625
Duff,Karlowicz,Male,50,12-07-1965,1965,56,Speech Pathologist,Manufacturing,Mass Customer,N,Yes,5,717 West Drive,2200,NSW,Australia,10,8,1.65625
Barthel,Docket,Male,72,12-07-1966,1966,55,Accounting Assistant IV,IT,Mass Customer,N,Yes,17,80 Scofield Junction,4151,QLD,Australia,5,10,1.640625
Rockwell,Matson,Male,94,12-07-1967,1967,54,Programmer Analyst I,Retail,High Net Worth,N,No,3,3682 Crowley Point,4573,QLD,Australia,6,10,1.640625
Wheeler,Winward,Male,48,12-07-1968,1968,53,Environmental Specialist,Manufacturing,Mass Customer,N,No,10,3 Golden Leaf Point,3216,VIC,Australia,8,12,1.625
Olag,,Male,60,12-07-1969,1969,52,Human Resources Manager,Telecommunications,Mass Customer,N,No,9,0484 North Avenue,2032,NSW,Australia,11,13,1.609375
Melba,Spellacy,Female,38,12-07-1970,1970,51,VP Marketing,Health,Mass Customer,N,No,4,0591 Anzinger Circle,2232,NSW,Australia,10,14,1.59375
Mandie,Feares,Female,32,12-07-1971,1971,50,Clinical Specialist,Health,Mass Customer,N,No,10,39 Kedzie Pass,4053,QLD,Australia,8,14,1.59375
Dukie,Swire,Male,88,12-07-1972,1972,49,,Manufacturing,Affluent Customer,N,Yes,5,64 Granby Parkway,2500,NSW,Australia,8,16,1.5625
Marcelia,Monkleigh,Female,61,12-07-1973,1973,48,Associate Professor,Manufacturing,Mass Customer,N,Yes,4,610 Swallow Street,4051,QLD,Australia,6,17,1.546875
Winnifred,Beswetherick,Female,83,12-07-1974,1974,47,Actuary,Financial Services,Mass Customer,N,No,14,61 4th Street,3040,VIC,Australia,10,17,1.546875
Odilia,Quick,Female,65,09-11-1938,1938,83,General Manager,Manufacturing,Affluent Customer,N,Yes,11,1550 Russell Way,2222,NSW,Australia,11,19,1.53125
Karly,Willavize,Female,2,12-08-1954,1954,67,Internal Auditor,Manufacturing,High Net Worth,N,No,12,193 North Point,2190,NSW,Australia,10,19,1.53125
Teddie,Burchill,Male,11,21-12-1968,1968,53,Programmer I,Manufacturing,Mass Customer,N,Yes,13,321 Raven Plaza,2161,NSW,Australia,9,21,1.515625
Gaston,Dallaghan,Male,44,29-09-1993,1993,28,Financial Analyst,Financial Services,Mass Customer,N,Yes,8,656 Fuller Street,2783,NSW,Australia,7,21,1.515625
Otis,Ottey,Male,26,05-02-1998,1998,23,Quality Engineer,n/a,Mass Customer,N,No,3,1562 Merchant Street,4744,QLD,Australia,4,23,1.5
Tabbatha,Averill,Female,5,17-12-1977,1977,44,Quality Control Specialist,n/a,Affluent Customer,N,Yes,13,663 8th Parkway,2257,NSW,Australia,8,23,1.5
Brena,Schnitter,Female,78,11-10-1982,1982,39,Account Executive,Manufacturing,Mass Customer,N,No,4,67 Shelley Street,4703,QLD,Australia,5,25,1.484375
Rourke,Gillbard,Male,11,03-08-1945,1945,76,,Property,Mass Customer,N,No,17,75 Cordelia Trail,4817,QLD,Australia,4,26,1.46875
Dyane,Burwell,Female,19,27-06-1952,1952,69,Engineer II,Retail,Mass Customer,N,Yes,7,51 Hooker Court,2640,NSW,Australia,2,26,1.46875
Claudine,Barstowk,Female,71,20-07-1966,1966,55,Nurse,Property,High Net Worth,N,Yes,5,1859 Forest Circle,4000,QLD,Australia,11,26,1.46875
Blinnie,Roze,Female,84,10-12-1960,1960,61,Librarian,Entertainment,High Net Worth,N,No,11,44557 Rutledge Court,4171,QLD,Australia,7,26,1.46875
Rhona,De Freyne,Female,45,22-11-1960,1960,61,,Health,High Net Worth,N,No,8,11184 East Drive,3056,VIC,Australia,10,30,1.4609375
Sharron,Claibourn,Female,62,26-01-1980,1980,41,,Financial Services,High Net Worth,N,Yes,17,555 Hermina Avenue,2280,NSW,Australia,8,30,1.4609375
Brien,Heaton,Male,70,28-11-1951,1951,70,Clinical Specialist,Health,Mass Customer,N,Yes,12,8 Novick Trail,2470,NSW,Australia,2,32,1.453125
Sybilla,MacCart,Female,88,15-01-1987,1987,34,Paralegal,Financial Services,Mass Customer,N,Yes,7,74 Welch Pass,2620,NSW,Australia,7,32,1.453125
Mikel,McNess,Male,71,22-09-1981,1981,40,Nurse,n/a,Mass Customer,N,No,9,3 Pleasure Drive,4122,QLD,Australia,9,32,1.453125
Maisie,Maddox,Female,27,09-05-1977,1977,44,Assistant Manager,Financial Services,Affluent Customer,N,No,20,8 Dennis Point,3226,VIC,Australia,9,32,1.453125
Arleen,Casbolt,Female,48,10-05-1975,1975,46,Senior Quality Engineer,Financial Services,Affluent Customer,N,Yes,13,41042 Lotheville Crossing,4817,QLD,Australia,1,36,1.44765625
Farlie,Petford,Male,76,25-03-1968,1968,53,Recruiting Manager,n/a,High Net Worth,N,No,13,2330 Butternut Trail,2017,NSW,Australia,10,36,1.44765625
Mitchell,MacCague,Male,58,11-04-1979,1979,42,,Manufacturing,Mass Customer,N,No,15,240 Acker Avenue,3190,VIC,Australia,8,38,1.4375
Garik,Whitwell,Male,44,13-06-1955,1955,66,,Property,Mass Customer,N,Yes,13,04 Dexter Way,3280,VIC,Australia,2,38,1.4375
Antonin,Britt,Male,64,28-08-1993,1993,28,,Manufacturing,Affluent Customer,N,Yes,8,011 Northland Trail,2160,NSW,Australia,9,40,1.434375
Vinny,Incogna,Female,73,13-02-1953,1953,68,,Health,High Net Worth,N,No,10,8 Grayhawk Circle,2756,NSW,Australia,8,40,1.434375
Colene,Fishleigh,Female,24,14-03-1985,1985,36,Design Engineer,Financial Services,Mass Customer,N,No,3,44 Darwin Lane,3149,VIC,Australia,10,42,1.421875
Neile,Argent,Female,79,25-10-1946,1946,75,,Retail,Mass Customer,N,No,8,2548 Arrowood Pass,2024,NSW,Australia,10,42,1.421875
Corinna,Suggey,Female,52,18-09-1966,1966,55,Design Engineer,n/a,Affluent Customer,N,No,9,938 Ilene Road,2761,NSW,Australia,8,44,1.42109375
Brooke,Arling,Male,76,05-12-1961,1961,60,,n/a,High Net Worth,N,No,6,6 Melby Center,3027,VIC,Australia,5,44,1.42109375
Gipsy,Ewestace,Female,29,30-08-1956,1956,65,Business Systems Development Analyst,Retail,High Net Worth,N,Yes,5,08708 Moulton Park,2034,NSW,Australia,12,46,1.4078125
Sheena,Kybbye,Female,14,16-07-1956,1956,65,Paralegal,Financial Services,Affluent Customer,N,Yes,19,306 Clemons Junction,4852,QLD,Australia,1,46,1.4078125
Jobina,Gobourn,Female,85,04-12-1994,1994,27,VP Quality Control,n/a,High Net Worth,N,Yes,14,18 Grim Road,4305,QLD,Australia,4,46,1.4078125
Gale,Disbrow,Female,59,14-05-1977,1977,44,Cost Accountant,Financial Services,Mass Customer,N,Yes,17,169 Bashford Drive,3741,VIC,Australia,7,46,1.4078125
Thaxter,Kingsbury,Male,12,03-05-1950,1950,71,Product Engineer,Argiculture,Mass Customer,N,No,20,3 Vermont Lane,2067,NSW,Australia,12,50,1.40625
Heinrick,Shilstone,Male,60,11-02-1978,1978,43,,Manufacturing,Affluent Customer,N,No,10,998 Gale Park,3174,VIC,Australia,8,50,1.40625
Taylor,Steuhlmeyer,Male,62,22-03-1999,1999,22,Paralegal,Financial Services,Affluent Customer,N,Yes,5,64 Mcguire Trail,4017,QLD,Australia,8,52,1.39453125
Griswold,Kelsall,Male,55,19-12-1993,1993,28,Social Worker,Health,High Net Worth,N,Yes,11,74127 Blaine Point,3805,VIC,Australia,7,52,1.39453125
Odessa,Mc Andrew,Female,97,01-12-1981,1981,40,,Property,Mass Customer,N,No,8,31756 Meadow Valley Lane,2232,NSW,Australia,10,54,1.38125
Lavena,Seekings,Female,87,25-03-1995,1995,26,Payment Adjustment Coordinator,Retail,Mass Customer,N,No,16,293 Mayfield Street,3166,VIC,Australia,10,54,1.38125
Martelle,Tuppeny,Female,52,03-02-1981,1981,40,Marketing Assistant,Manufacturing,Mass Customer,N,No,9,261 Grayhawk Way,2226,NSW,Australia,10,54,1.38125
Briant,Ladley,Male,75,17-12-1979,1979,42,Recruiter,Argiculture,Mass Customer,N,No,12,2 Schlimgen Terrace,2750,NSW,Australia,8,57,1.375
Marylou,Kirkup,Female,51,31-10-1972,1972,49,VP Product Management,n/a,Mass Customer,N,No,14,76733 Sunbrook Terrace,3196,VIC,Australia,9,57,1.375
Whittaker,,Male,64,29-07-1966,1966,55,Media Manager III,n/a,Mass Customer,N,Yes,8,683 Florence Way,3156,VIC,Australia,5,57,1.375
Normy,Goodinge,U,5,,,#VALUE!,Associate Professor,IT,Mass Customer,N,No,4,7232 Fulton Parkway,3810,VIC,Australia,5,57,1.375
Lorrie,Antonelli,Male,47,11-02-1983,1983,38,Cost Accountant,Financial Services,High Net Worth,N,Yes,17,06936 Bobwhite Circle,2257,NSW,Australia,7,57,1.375
Jedediah,Kedie,Male,31,29-12-1971,1971,50,Developer I,Argiculture,Mass Customer,N,Yes,9,283 Acker Drive,2763,NSW,Australia,9,62,1.36796875
Kaine,Smallcombe,Male,59,06-02-1942,1942,79,Senior Financial Analyst,Financial Services,High Net Worth,N,No,11,9 Mosinee Parkway,2072,NSW,Australia,10,62,1.36796875
Loise,Iltchev,Female,70,18-03-1967,1967,54,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,17,45 Becker Place,4504,QLD,Australia,6,62,1.36796875
Cristen,Maroney,Female,22,21-11-1999,1999,22,Accountant IV,IT,High Net Worth,N,Yes,7,27 Karstens Crossing,4214,QLD,Australia,7,65,1.3625
Dorothy,Barnardo,Female,58,01-02-1983,1983,38,Human Resources Manager,Retail,High Net Worth,N,No,12,9630 Cottonwood Avenue,2168,NSW,Australia,8,65,1.3625
Rosmunda,Duxbarry,Female,69,20-07-1996,1996,25,Executive Secretary,Property,Affluent Customer,N,Yes,5,989 Graedel Terrace,4208,QLD,Australia,11,65,1.3625
Rozamond,Riha,Female,54,07-10-1984,1984,37,Account Representative I,Manufacturing,Affluent Customer,N,Yes,16,76 Bartelt Center,4078,QLD,Australia,7,68,1.3546875
Gunner,Petti,Male,62,08-06-1999,1999,22,Executive Secretary,Financial Services,High Net Worth,N,Yes,3,29778 Mendota Drive,4036,QLD,Australia,5,68,1.3546875
Vivienne,Crayden,Female,82,18-09-1988,1988,33,Associate Professor,n/a,High Net Worth,N,Yes,6,69 Algoma Center,4173,QLD,Australia,7,68,1.3546875
Sherilyn,Canero,Female,11,03-08-1996,1996,25,Dental Hygienist,Health,High Net Worth,N,Yes,13,8288 Lyons Way,2484,NSW,Australia,7,68,1.3546875
Bessie,Roscow,Female,78,04-08-1994,1994,27,GIS Technical Architect,Financial Services,Mass Customer,N,No,9,4185 Florence Trail,2121,NSW,Australia,10,72,1.35
Kevina,Ferandez,Female,73,21-09-1999,1999,22,Assistant Professor,Financial Services,High Net Worth,N,No,15,9608 Heffernan Drive,4068,QLD,Australia,9,72,1.35
Yancy,Clementet,Male,5,16-02-1968,1968,53,Mechanical Systems Engineer,n/a,High Net Worth,N,No,15,9 Union Center,2147,NSW,Australia,9,72,1.35
Mabelle,Wellbelove,Female,76,21-04-1958,1958,63,,Financial Services,Affluent Customer,N,Yes,19,800 Emmet Park,2219,NSW,Australia,9,72,1.35
Hasheem,Groucock,Male,98,17-09-1974,1974,47,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,N,Yes,10,12351 Spenser Pass,2034,NSW,Australia,12,72,1.35
Tobias,Woodhams,Male,0,15-04-1961,1961,60,Research Nurse,Health,Mass Customer,N,No,17,4 Valley Edge Plaza,2759,NSW,Australia,9,77,1.34140625
Glennis,Flintoff,Female,36,22-10-1956,1956,65,Speech Pathologist,Health,Affluent Customer,N,Yes,13,1601 Rutledge Lane,3030,VIC,Australia,7,78,1.3375
Chanda,Mensler,Female,15,14-01-1972,1972,49,Computer Systems Analyst IV,Manufacturing,Mass Customer,N,Yes,13,0 Mockingbird Plaza,2212,NSW,Australia,10,78,1.3375
Katheryn,Kinner,Female,15,28-11-1973,1973,48,Analyst Programmer,Entertainment,High Net Worth,N,No,6,1665 Kenwood Center,2518,NSW,Australia,6,78,1.3375
Sumner,Carrivick,Male,53,09-04-1995,1995,26,Desktop Support Technician,Manufacturing,Mass Customer,N,No,15,5 4th Center,2097,NSW,Australia,12,78,1.3375
Valerie,Pickover,Female,34,08-09-1965,1965,56,Editor,Financial Services,Mass Customer,N,No,9,92214 Spenser Road,2756,NSW,Australia,8,78,1.3375
Esther,Rooson,Female,14,22-02-1981,1981,40,,Financial Services,Mass Customer,N,No,5,5186 Main Trail,2046,NSW,Australia,9,78,1.3375
Gardie,Crellim,Male,58,12-09-1975,1975,46,Biostatistician IV,Manufacturing,High Net Worth,N,No,8,564 Forest Dale Avenue,3161,VIC,Australia,12,84,1.328125
Sean,O'Loughlin,Male,48,22-03-1961,1961,60,Database Administrator III,Manufacturing,High Net Worth,N,Yes,16,83 Old Gate Point,2576,NSW,Australia,10,85,1.325
Pietra,Buckleigh,Female,9,29-04-1949,1949,72,Engineer III,n/a,High Net Worth,N,No,13,387 Dixon Alley,2024,NSW,Australia,10,85,1.325
Marysa,Rouchy,Female,8,15-02-1999,1999,22,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,411 Twin Pines Way,2026,NSW,Australia,9,85,1.325
Kahaleel,,Male,5,01-11-1942,1942,79,GIS Technical Architect,n/a,High Net Worth,N,No,13,12 Arapahoe Park,2035,NSW,Australia,12,88,1.31484375
Ossie,Midden,Male,49,10-02-1950,1950,71,Physical Therapy Assistant,Manufacturing,Mass Customer,N,Yes,14,4915 Debra Center,2479,NSW,Australia,9,89,1.3125
Sid,Carlone,Male,24,18-08-1971,1971,50,Structural Engineer,Health,Affluent Customer,N,No,16,76 Sunnyside Avenue,4670,QLD,Australia,2,89,1.3125
Ludovico,Juster,Male,93,19-04-1992,1992,29,Environmental Specialist,n/a,Affluent Customer,N,No,15,1 Talisman Avenue,2125,NSW,Australia,10,89,1.3125
Patricia,Everix,Female,34,19-02-1978,1978,43,Director of Sales,Health,Mass Customer,N,No,19,91164 Washington Terrace,2263,NSW,Australia,7,89,1.3125
Andromache,Bonafacino,Female,84,01-09-1977,1977,44,,Retail,Mass Customer,N,No,11,74 Carpenter Street,2015,NSW,Australia,9,89,1.3125
Levy,Abramamov,Male,94,21-09-1952,1952,69,Teacher,n/a,Affluent Customer,N,Yes,14,6776 Anderson Center,4037,QLD,Australia,8,89,1.3125
Nobe,McAughtry,Male,25,14-12-1978,1978,43,,n/a,Mass Customer,N,No,12,1 Orin Hill,4510,QLD,Australia,5,89,1.3125
Jehu,Prestedge,Male,91,20-10-1999,1999,22,,Manufacturing,High Net Worth,N,Yes,8,88 Annamark Avenue,2138,NSW,Australia,12,96,1.3
Symon,Mawne,Male,18,08-02-1943,1943,78,Human Resources Assistant IV,Property,Mass Customer,N,Yes,15,37439 High Crossing Circle,3350,VIC,Australia,4,96,1.3
Karlik,Penchen,Male,60,31-10-1994,1994,27,Nurse Practicioner,Retail,Mass Customer,N,No,11,5 Nevada Point,4017,QLD,Australia,6,96,1.3
Bengt,Bilson,Male,26,02-11-1972,1972,49,Structural Engineer,Manufacturing,High Net Worth,N,No,11,67 Grayhawk Circle,2232,NSW,Australia,10,99,1.296875
Evangelin,Boc,Female,30,09-05-2000,2000,21,Structural Analysis Engineer,Manufacturing,High Net Worth,N,Yes,14,0 Meadow Ridge Street,3173,VIC,Australia,8,99,1.296875
Hanny,Treven,Female,84,22-01-1991,1991,30,Associate Professor,Retail,Mass Customer,N,No,3,5 Quincy Street,4118,QLD,Australia,4,99,1.296875
Gina,Mallon,Female,56,11-02-1994,1994,27,Dental Hygienist,Health,Mass Customer,N,No,12,13025 Johnson Plaza,4670,QLD,Australia,2,102,1.28828125
Reynold,Elman,Male,19,18-01-1940,1940,81,Marketing Manager,Manufacturing,Mass Customer,N,No,9,966 Sunnyside Center,2390,NSW,Australia,2,102,1.28828125
Flossy,Concannon,Female,64,20-10-1980,1980,41,Staff Accountant IV,Financial Services,Affluent Customer,N,No,8,802 Mallory Park,3919,VIC,Australia,2,104,1.2875
Cristen,Wiltshire,Female,59,20-10-1961,1961,60,VP Sales,Financial Services,High Net Worth,N,Yes,15,93 Judy Drive,3047,VIC,Australia,6,104,1.2875
Griffith,Escot,Male,50,23-10-1946,1946,75,Accountant III,IT,Mass Customer,N,Yes,16,94 Manitowish Court,4116,QLD,Australia,3,104,1.2875
Jamie,Jiruca,Female,21,16-06-1963,1963,58,Recruiting Manager,Argiculture,Mass Customer,N,No,18,5013 Erie Crossing,2230,NSW,Australia,9,104,1.2875
Lyon,Brittan,Male,14,23-04-1972,1972,49,Sales Representative,Retail,High Net Worth,N,No,19,540 Sachs Road,3153,VIC,Australia,8,104,1.2875
Aridatha,Sephton,Female,95,22-10-1961,1961,60,Human Resources Assistant II,n/a,Mass Customer,N,No,5,422 Forster Circle,2340,NSW,Australia,1,104,1.2875
Michal,Bryan,Female,1,09-11-1969,1969,52,,Manufacturing,Mass Customer,N,Yes,16,4275 Bluestem Pass,4000,QLD,Australia,8,104,1.2875
Franciska,Stigell,Female,95,15-11-1968,1968,53,Food Chemist,Health,Mass Customer,N,Yes,7,6 Anderson Junction,3802,VIC,Australia,7,111,1.28125
Jordan,Clampe,Male,37,09-12-1939,1939,82,Staff Scientist,Financial Services,Mass Customer,N,Yes,11,276 Westend Road,4207,QLD,Australia,5,111,1.28125
David,Napoleon,Male,72,05-11-1961,1961,60,Structural Engineer,n/a,High Net Worth,N,No,14,69 Garrison Point,2223,NSW,Australia,11,111,1.28125
Meriel,Tapp,Female,0,13-08-1995,1995,26,VP Sales,IT,Mass Customer,N,No,5,65 Milwaukee Hill,3280,VIC,Australia,2,114,1.275
Dolley,Starmont,Female,53,08-11-1977,1977,44,Geologist IV,Manufacturing,Affluent Customer,N,No,18,4252 Dovetail Pass,4129,QLD,Australia,6,114,1.275
Frederik,Milan,Male,45,13-11-1997,1997,24,,Health,Mass Customer,N,No,5,56 Riverside Street,2546,NSW,Australia,5,114,1.275
Rollo,Louedey,Male,64,09-07-1946,1946,75,Information Systems Manager,Telecommunications,Affluent Customer,N,Yes,17,7 Cascade Park,2089,NSW,Australia,9,114,1.275
Jerrine,Cosbey,Female,21,11-01-1978,1978,43,Junior Executive,Financial Services,High Net Worth,N,Yes,6,29307 Russell Avenue,3094,VIC,Australia,9,114,1.275
Roddy,Rubinshtein,Male,37,08-10-1987,1987,34,Nurse Practicioner,Retail,Mass Customer,N,Yes,4,3 Mcguire Crossing,4510,QLD,Australia,7,114,1.275
Viki,Coutts,Female,2,14-12-1952,1952,69,Automation Specialist II,Property,Mass Customer,N,Yes,7,6 Golf View Alley,2287,NSW,Australia,4,120,1.2625
Ashby,Bispham,Male,71,29-10-1981,1981,40,Software Consultant,Retail,Affluent Customer,N,No,4,83716 Russell Lane,2145,NSW,Australia,8,120,1.2625
Alexander,Broadbent,Male,57,28-05-1997,1997,24,Desktop Support Technician,n/a,Mass Customer,N,No,9,265 Stephen Trail,2209,NSW,Australia,10,120,1.2625
Teddy,Lagadu,Female,86,20-07-1969,1969,52,Design Engineer,n/a,High Net Worth,N,No,6,2 Charing Cross Trail,2759,NSW,Australia,8,120,1.2625
Peria,Rantoull,Female,3,13-03-1975,1975,46,Financial Analyst,Financial Services,Mass Customer,N,No,4,8350 Moulton Terrace,4500,QLD,Australia,4,120,1.2625
Ludvig,Andren,Male,44,22-02-1941,1941,80,Media Manager III,n/a,High Net Worth,N,Yes,15,578 Waywood Circle,4306,QLD,Australia,5,125,1.26171875
Elsworth,Abbitt,Male,71,08-02-1956,1956,65,,Health,Mass Customer,N,Yes,6,9722 Northport Way,3500,VIC,Australia,3,125,1.26171875
Rebeca,Aggas,Female,66,27-02-1953,1953,68,Social Worker,Health,Affluent Customer,N,No,21,7026 Katie Lane,3818,VIC,Australia,1,127,1.25
Ricki,Dobrowski,Male,13,10-03-1975,1975,46,Civil Engineer,Manufacturing,Mass Customer,N,Yes,9,8 Eggendart Pass,2835,NSW,Australia,1,127,1.25
Georgetta,Lovett,Female,42,02-02-1940,1940,81,Editor,Retail,Mass Customer,N,No,12,1 Bluejay Place,4405,QLD,Australia,1,127,1.25
