customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure
1,Laraine,Medendorp,F,93,1953/10/12,Executive Secretary,Health,Mass Customer,N,"""'",Yes,11
2,Eli,Bockman,Male,81,1980/12/16,Administrative Officer,Financial Services,Mass Customer,N,<script>alert('hi')</script>,Yes,16
3,Arlin,Dearle,Male,61,1954/1/20,Recruiting Manager,Property,Mass Customer,N,01-Feb,Yes,15
4,Talbot,,Male,33,1961/10/3,,IT,Mass Customer,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,7
5,Sheila-kathryn,Calton,Female,56,1977/5/13,Senior Editor,n/a,Affluent Customer,N,NIL,Yes,8
6,Curr,Duckhouse,Male,35,1966/9/16,,Retail,High Net Worth,N,?? ? ? ?,Yes,13
7,Fina,Merali,Female,6,1976/2/23,,Financial Services,Affluent Customer,N,?????????,Yes,11
8,Rod,Inder,Male,31,1962/3/30,Media Manager I,n/a,Mass Customer,N,(??????????????? ?????),No,7
9,Mala,Lind,Female,97,1973/3/10,Business Systems Development Analyst,Argiculture,Affluent Customer,N,0/0,Yes,8
10,Fiorenze,Birdall,Female,49,1988/10/11,Senior Quality Engineer,Financial Services,Mass Customer,N,????,Yes,20
11,Uriah,Bisatt,Male,99,1954/4/30,,Property,Mass Customer,N,??????????????????,No,9
12,Sawyere,Flattman,Male,58,1994/7/21,Nuclear Power Engineer,Manufacturing,Mass Customer,N,nil,No,8
13,Gabriele,Norcross,Male,38,1955/2/15,Developer I,Financial Services,High Net Worth,N,-1.00E+02,Yes,8
14,Rayshell,Kitteman,Female,85,1983/3/25,Account Executive,Financial Services,Affluent Customer,N,??????,No,6
15,Erroll,Radage,Male,91,2000/7/13,Junior Executive,Manufacturing,Mass Customer,N,?,No,1
16,Harlin,Parr,Male,38,1977/2/27,Media Manager IV,n/a,Mass Customer,N,1.00E+96,Yes,18
17,Heath,Faraday,Male,57,1962/3/19,Sales Associate,n/a,Affluent Customer,N,???????????(??????????)?????????,Yes,15
18,Marjie,Neasham,Female,79,1967/7/6,Professor,n/a,Affluent Customer,N,?????????????????,No,11
19,Sorcha,Keyson,Female,76,2001/4/15,Geological Engineer,Manufacturing,High Net Worth,N,???????????????,No,1
20,Basile,Firth,Male,72,1980/8/13,Project Manager,Manufacturing,Mass Customer,N,????,No,11
21,Mile,Cammocke,Male,74,1980/9/20,Safety Technician I,Manufacturing,Affluent Customer,N,-1.00E+02,Yes,16
22,Deeanne,Durtnell,Female,79,1962/12/10,,IT,Mass Customer,N,??????,No,11
23,Olav,Polak,Male,43,1995/2/10,,n/a,High Net Worth,N,01-Feb,Yes,1
24,Kim,Skpsey,Female,55,1977/12/3,Research Assistant I,Argiculture,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,15
25,Geoff,Assaf,Male,72,1976/12/2,Accounting Assistant III,Financial Services,Mass Customer,N,???????????test???????????? ??????????,Yes,21
26,Trixi,Ginnelly,Female,12,1978/6/10,Editor,Financial Services,Mass Customer,N,"<>?:""{}|_+",Yes,16
27,Garvin,Klees,Male,37,1978/9/25,Research Nurse,Health,Mass Customer,N,"''''""",Yes,12
28,Fee,Zellmer,Male,5,1973/9/30,Senior Quality Engineer,Health,Affluent Customer,N,",./;'[]\-=",Yes,21
29,Mona,Sancraft,Female,62,1968/6/22,Safety Technician III,Manufacturing,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,No,19
30,Darrick,Helleckas,Male,18,1961/10/18,,IT,Affluent Customer,N,???????? ?????????,Yes,6
31,Star,Praton,Female,3,1962/11/24,Staff Accountant III,Telecommunications,High Net Worth,N,test??test??,Yes,14
